type,jan_regis,feb_regis,mar_regis,apr_regis,total_regis,jan_m,feb_m,mar_m,apr_m,total_m
การผลิตน้ำมันมะพร้าว,0,1,2,0,3,0,2,3,0,5
การผลิตน้ำมันพืชชนิดอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,2,2,0,2,6,2,1.1,0,1.889988,4.989988
การผลิตน้ำมันปาล์ม,1,1,1,0,3,1,1,1,0,3
การผลิตน้ำมันและไขมันจากสัตว์,0,0,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์อื่น ๆ ที่ได้จากน้ำมันพืชซึ่งมิได้จัด ประเภทไว้ในที่อื่น,0,1,0,0,1,0,5,0,0,5
การผลิตน้ำนมสด (ยกเว้นน้ำนมดิบ),0,0,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์นมข้นหรือนมผง,0,0,0,0,0,0,0,0,0,0
การผลิตไอศกรีมและไอศกรีมหวานเย็น,2,1,1,1,5,6,1,3,1,11
การผลิตโยเกิร์ตและนมเปรี้ยว,0,1,0,0,1,0,0.1,0,0,0.1
การผลิตเนย,0,0,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์นมอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การสีข้าว,1,1,3,1,6,5,1,57,1,64
การผลิตแป้งจากข้าว,0,0,0,0,0,0,0,0,0,0
การผลิตแป้งสาลี,0,0,0,0,0,0,0,0,0,0
การผลิตแป้งข้าวโพด,0,0,0,0,0,0,0,0,0,0
การผลิตแป้งจากเมล็ดธัญพืชอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การผลิตแป้งผสมหรือแป้งสำเร็จรูปสำหรับใช้ทำขนมปังและ ประกอบอาหารอื่น ๆ,1,0,2,2,5,0.3,0,4.5,2,6.8
การผลิตน้ำธัญพืช,0,0,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์อื่น ๆ จากเมล็ดธัญพืชซึ่งมิได้จัด ประเภทไว้ในที่อื่น,2,4,1,2,9,1.3,7.45,3,2,13.75
การผลิตมันเส้นและมันอัดเม็ด,0,0,0,0,0,0,0,0,0,0
การผลิตสตาร์ชมันสำปะหลัง,0,0,0,0,0,0,0,0,0,0
การผลิตสตาร์ชจากข้าวโพดธัญพืชและพืชผักอื่น ๆ (ยกเว้นมันสำปะหลัง),0,0,0,1,1,0,0,0,5,5
การผลิตผลิตภัณฑ์จากสตาร์ชอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์อาหารอื่นๆ,0,0,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์ขนมอบ,0,0,0,0,0,0,0,0,0,0
การผลิตขนมปังเค้กและเพสตรี,13,8,8,7,36,16.12,6.2,6.2,10.3,38.82
การผลิตขนมปังกรอบและผลิตภัณฑ์ขนมอบกรอบอื่น ๆ,3,2,1,1,7,6,3,2,0.5,11.5
การผลิตขนมไทยประเภทอบ,0,1,0,0,1,0,1,0,0,1
การผลิตน้ำตาล,0,0,0,0,0,0,0,0,0,0
การผลิตน้ำตาลดิบจากอ้อย,0,0,0,0,0,0,0,0,0,0
การผลิตน้ำตาลบริสุทธิ์,0,3,0,0,3,0,7,0,0,7
การผลิตน้ำตาลจากพืช (ยกเว้นอ้อย),0,0,0,0,0,0,0,0,0,0
การผลิตโกโก้และผลิตภัณฑ์จากโกโก้,0,1,0,0,1,0,0.27,0,0,0.27
การผลิตผลิตภัณฑ์ช็อกโกแลตและขนมหวานจากช็อกโกแลต,1,0,0,0,1,1,0,0,0,1
การผลิตหมากฝรั่ง,0,0,0,0,0,0,0,0,0,0
การถนอมผลไม้ถั่วเปลือกแข็งเปลือกผลไม้และส่วนอื่นๆของพืชโดยใช้น้ำตาล,0,0,0,0,0,0,0,0,0,0
การผลิตลูกกวาดและขนมอื่น ๆ ที่ทำจากน้ำตาลซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การผลิตพาสต้า,0,0,0,0,0,0,0,0,0,0
การผลิตเส้นก๋วยเตี๋ยว บะหมี่ วุ้นเส้น,2,3,2,2,9,5,6.5,2,2,15.5
การผลิตผลิตภัณฑ์อาหารจำพวกแป้งชนิดสำเร็จรูปและ กึ่งสำเร็จรูป,0,0,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์อาหารจำพวกแป้งอื่น ๆ ที่คล้ายกันซึ่งมิได้ จัดประเภทไว้ในที่อื่น,3,1,2,1,7,116.5,1,6,3,126.5
การผลิตอาหารปรุงสำเร็จ,0,0,0,0,0,0,0,0,0,0
การผลิตอาหารปรุงสำเร็จแช่แข็ง,11,9,15,7,42,31.4,37,20,7.6,96
การผลิตอาหารปรุงสำเร็จบรรจุในภาชนะปิดสนิทโดยวิธีสุญญากาศ,4,6,2,2,14,4.5,5.2,2,1.1,12.8
