province,month,type,p_esta,m_esta
สมุทรสาคร,กุมภาพันธ์,L,0,0.0
สมุทรสาคร,มีนาคม,S,125,232.2
สมุทรสาคร,มีนาคม,M,0,0.0
สมุทรสาคร,มีนาคม,L,0,0.0
สมุทรสาคร,เมษายน,S,113,184.6
สมุทรสาคร,เมษายน,M,0,0.0
สมุทรสาคร,เมษายน,L,0,0.0
สมุทรสาคร,พฤษภาคม,S,0,0.0
สมุทรสาคร,พฤษภาคม,M,0,0.0
สมุทรสาคร,พฤษภาคม,L,0,0.0
สมุทรสาคร,มิถุนายน,S,0,0.0
สมุทรสาคร,มิถุนายน,M,0,0.0
สมุทรสาคร,มิถุนายน,L,0,0.0
สมุทรสาคร,กรกฎาคม,S,0,0.0
สมุทรสาคร,กรกฎาคม,M,0,0.0
สมุทรสาคร,กรกฎาคม,L,0,0.0
สมุทรสาคร,สิงหาคม,S,0,0.0
สมุทรสาคร,สิงหาคม,M,0,0.0
สมุทรสาคร,สิงหาคม,L,0,0.0
สมุทรสาคร,กันยายน,S,0,0.0
สมุทรสาคร,กันยายน,M,0,0.0
สมุทรสาคร,กันยายน,L,0,0.0
สมุทรสาคร,ตุลาคม,S,0,0.0
สมุทรสาคร,ตุลาคม,M,0,0.0
สมุทรสาคร,ตุลาคม,L,0,0.0
สมุทรสาคร,พฤศจิกายน,S,0,0.0
สมุทรสาคร,พฤศจิกายน,M,0,0.0
สมุทรสาคร,พฤศจิกายน,L,0,0.0
สมุทรสาคร,ธันวาคม,S,0,0.0
สมุทรสาคร,ธันวาคม,M,0,0.0
สมุทรสาคร,ธันวาคม,L,0,0.0
สระบุรี,มกราคม,S,60,99.2
สระบุรี,มกราคม,M,0,0.0
สระบุรี,มกราคม,L,0,0.0
สระบุรี,กุมภาพันธ์,S,47,61.06
สระบุรี,กุมภาพันธ์,M,0,0.0
สระบุรี,กุมภาพันธ์,L,0,0.0
สระบุรี,มีนาคม,S,63,100.6
สระบุรี,มีนาคม,M,0,0.0
สระบุรี,มีนาคม,L,0,0.0
สระบุรี,เมษายน,S,46,97.409999
สระบุรี,เมษายน,M,0,0.0
สระบุรี,เมษายน,L,0,0.0
สระบุรี,พฤษภาคม,S,0,0.0
สระบุรี,พฤษภาคม,M,0,0.0
สระบุรี,พฤษภาคม,L,0,0.0
สระบุรี,มิถุนายน,S,0,0.0
สระบุรี,มิถุนายน,M,0,0.0
สระบุรี,มิถุนายน,L,0,0.0
สระบุรี,กรกฎาคม,S,0,0.0
สระบุรี,กรกฎาคม,M,0,0.0
สระบุรี,กรกฎาคม,L,0,0.0
สระบุรี,สิงหาคม,S,0,0.0
สระบุรี,สิงหาคม,M,0,0.0
สระบุรี,สิงหาคม,L,0,0.0
สระบุรี,กันยายน,S,0,0.0
สระบุรี,กันยายน,M,0,0.0
สระบุรี,กันยายน,L,0,0.0
สระบุรี,ตุลาคม,S,0,0.0
สระบุรี,ตุลาคม,M,0,0.0
สระบุรี,ตุลาคม,L,0,0.0
สระบุรี,พฤศจิกายน,S,0,0.0
สระบุรี,พฤศจิกายน,M,0,0.0
สระบุรี,พฤศจิกายน,L,0,0.0
สระบุรี,ธันวาคม,S,0,0.0
สระบุรี,ธันวาคม,M,0,0.0
สระบุรี,ธันวาคม,L,0,0.0
สิงห์บุรี,มกราคม,S,13,59.05
สิงห์บุรี,มกราคม,M,0,0.0
สิงห์บุรี,มกราคม,L,0,0.0
สิงห์บุรี,กุมภาพันธ์,S,7,8.0
สิงห์บุรี,กุมภาพันธ์,M,0,0.0
สิงห์บุรี,กุมภาพันธ์,L,0,0.0
สิงห์บุรี,มีนาคม,S,8,12.0
สิงห์บุรี,มีนาคม,M,0,0.0
สิงห์บุรี,มีนาคม,L,0,0.0
สิงห์บุรี,เมษายน,S,9,12.3
สิงห์บุรี,เมษายน,M,0,0.0
สิงห์บุรี,เมษายน,L,0,0.0
สิงห์บุรี,พฤษภาคม,S,0,0.0
สิงห์บุรี,พฤษภาคม,M,0,0.0
สิงห์บุรี,พฤษภาคม,L,0,0.0
สิงห์บุรี,มิถุนายน,S,0,0.0
สิงห์บุรี,มิถุนายน,M,0,0.0
สิงห์บุรี,มิถุนายน,L,0,0.0
สิงห์บุรี,กรกฎาคม,S,0,0.0
สิงห์บุรี,กรกฎาคม,M,0,0.0
สิงห์บุรี,กรกฎาคม,L,0,0.0
สิงห์บุรี,สิงหาคม,S,0,0.0
สิงห์บุรี,สิงหาคม,M,0,0.0
สิงห์บุรี,สิงหาคม,L,0,0.0
สิงห์บุรี,กันยายน,S,0,0.0
สิงห์บุรี,กันยายน,M,0,0.0
สิงห์บุรี,กันยายน,L,0,0.0
สิงห์บุรี,ตุลาคม,S,0,0.0
สิงห์บุรี,ตุลาคม,M,0,0.0
สิงห์บุรี,ตุลาคม,L,0,0.0
สิงห์บุรี,พฤศจิกายน,S,0,0.0
สิงห์บุรี,พฤศจิกายน,M,0,0.0
สิงห์บุรี,พฤศจิกายน,L,0,0.0
สิงห์บุรี,ธันวาคม,S,0,0.0
สิงห์บุรี,ธันวาคม,M,0,0.0
สิงห์บุรี,ธันวาคม,L,0,0.0
อ่างทอง,มกราคม,S,12,17.7
อ่างทอง,มกราคม,M,0,0.0
อ่างทอง,มกราคม,L,0,0.0
อ่างทอง,กุมภาพันธ์,S,14,25.55
อ่างทอง,กุมภาพันธ์,M,0,0.0
อ่างทอง,กุมภาพันธ์,L,0,0.0
อ่างทอง,มีนาคม,S,11,12.6
อ่างทอง,มีนาคม,M,0,0.0
อ่างทอง,มีนาคม,L,0,0.0
อ่างทอง,เมษายน,S,13,48.07
อ่างทอง,เมษายน,M,0,0.0
อ่างทอง,เมษายน,L,0,0.0
อ่างทอง,พฤษภาคม,S,0,0.0
อ่างทอง,พฤษภาคม,M,0,0.0
อ่างทอง,พฤษภาคม,L,0,0.0
อ่างทอง,มิถุนายน,S,0,0.0
อ่างทอง,มิถุนายน,M,0,0.0
อ่างทอง,มิถุนายน,L,0,0.0
อ่างทอง,กรกฎาคม,S,0,0.0
อ่างทอง,กรกฎาคม,M,0,0.0
อ่างทอง,กรกฎาคม,L,0,0.0
อ่างทอง,สิงหาคม,S,0,0.0
อ่างทอง,สิงหาคม,M,0,0.0
อ่างทอง,สิงหาคม,L,0,0.0
อ่างทอง,กันยายน,S,0,0.0
อ่างทอง,กันยายน,M,0,0.0
อ่างทอง,กันยายน,L,0,0.0
อ่างทอง,ตุลาคม,S,0,0.0
อ่างทอง,ตุลาคม,M,0,0.0
อ่างทอง,ตุลาคม,L,0,0.0
อ่างทอง,พฤศจิกายน,S,0,0.0
อ่างทอง,พฤศจิกายน,M,0,0.0
อ่างทอง,พฤศจิกายน,L,0,0.0
อ่างทอง,ธันวาคม,S,0,0.0
อ่างทอง,ธันวาคม,M,0,0.0
อ่างทอง,ธันวาคม,L,0,0.0
กาญจนบุรี,มกราคม,S,56,77.135
กาญจนบุรี,มกราคม,M,0,0.0
กาญจนบุรี,มกราคม,L,0,0.0
กาญจนบุรี,กุมภาพันธ์,S,53,77.8
กาญจนบุรี,กุมภาพันธ์,M,0,0.0
กาญจนบุรี,กุมภาพันธ์,L,0,0.0
กาญจนบุรี,มีนาคม,S,52,64.7
กาญจนบุรี,มีนาคม,M,0,0.0
กาญจนบุรี,มีนาคม,L,0,0.0
กาญจนบุรี,เมษายน,S,22,23.91
กาญจนบุรี,เมษายน,M,0,0.0
กาญจนบุรี,เมษายน,L,0,0.0
กาญจนบุรี,พฤษภาคม,S,0,0.0
กาญจนบุรี,พฤษภาคม,M,0,0.0
กาญจนบุรี,พฤษภาคม,L,0,0.0
กาญจนบุรี,มิถุนายน,S,0,0.0
กาญจนบุรี,มิถุนายน,M,0,0.0
กาญจนบุรี,มิถุนายน,L,0,0.0
กาญจนบุรี,กรกฎาคม,S,0,0.0
กาญจนบุรี,กรกฎาคม,M,0,0.0
กาญจนบุรี,กรกฎาคม,L,0,0.0
กาญจนบุรี,สิงหาคม,S,0,0.0
กาญจนบุรี,สิงหาคม,M,0,0.0
กาญจนบุรี,สิงหาคม,L,0,0.0
กาญจนบุรี,กันยายน,S,0,0.0
กาญจนบุรี,กันยายน,M,0,0.0
กาญจนบุรี,กันยายน,L,0,0.0
กาญจนบุรี,ตุลาคม,S,0,0.0
กาญจนบุรี,ตุลาคม,M,0,0.0
กาญจนบุรี,ตุลาคม,L,0,0.0
กาญจนบุรี,พฤศจิกายน,S,0,0.0
กาญจนบุรี,พฤศจิกายน,M,0,0.0
กาญจนบุรี,พฤศจิกายน,L,0,0.0
กาญจนบุรี,ธันวาคม,S,0,0.0
กาญจนบุรี,ธันวาคม,M,0,0.0
กาญจนบุรี,ธันวาคม,L,0,0.0
ประจวบคีรีขันธ์,มกราคม,S,64,107.3
ประจวบคีรีขันธ์,มกราคม,M,0,0.0
ประจวบคีรีขันธ์,มกราคม,L,0,0.0
ประจวบคีรีขันธ์,กุมภาพันธ์,S,72,122.035
ประจวบคีรีขันธ์,กุมภาพันธ์,M,0,0.0
ประจวบคีรีขันธ์,กุมภาพันธ์,L,0,0.0
ประจวบคีรีขันธ์,มีนาคม,S,47,72.74
ประจวบคีรีขันธ์,มีนาคม,M,0,0.0
ประจวบคีรีขันธ์,มีนาคม,L,0,0.0
