province,month,objective,p_esta,m_esta
พระนครศรีอยุธยา,เมษายน,ผลิต,16,34.0
พระนครศรีอยุธยา,เมษายน,บริการ,43,73.76
พระนครศรีอยุธยา,พฤษภาคม,ขายส่ง/ขายปลีก,24,35.5
พระนครศรีอยุธยา,พฤษภาคม,ผลิต,13,36.75
พระนครศรีอยุธยา,พฤษภาคม,บริการ,35,42.55
พระนครศรีอยุธยา,มิถุนายน,ขายส่ง/ขายปลีก,28,48.1
พระนครศรีอยุธยา,มิถุนายน,ผลิต,8,43.5
พระนครศรีอยุธยา,มิถุนายน,บริการ,39,55.6
พระนครศรีอยุธยา,กรกฎาคม,ขายส่ง/ขายปลีก,22,45.2
พระนครศรีอยุธยา,กรกฎาคม,ผลิต,15,51.8
พระนครศรีอยุธยา,กรกฎาคม,บริการ,33,52.05
พระนครศรีอยุธยา,สิงหาคม,ขายส่ง/ขายปลีก,35,57.74
พระนครศรีอยุธยา,สิงหาคม,ผลิต,6,13.0
พระนครศรีอยุธยา,สิงหาคม,บริการ,33,40.21
พระนครศรีอยุธยา,กันยายน,ขายส่ง/ขายปลีก,36,38.05
พระนครศรีอยุธยา,กันยายน,ผลิต,3,2.5
พระนครศรีอยุธยา,กันยายน,บริการ,50,83.5
พระนครศรีอยุธยา,ตุลาคม,ขายส่ง/ขายปลีก,31,37.23
พระนครศรีอยุธยา,ตุลาคม,ผลิต,9,12.4
พระนครศรีอยุธยา,ตุลาคม,บริการ,47,69.9
พระนครศรีอยุธยา,พฤศจิกายน,ขายส่ง/ขายปลีก,19,27.75
พระนครศรีอยุธยา,พฤศจิกายน,ผลิต,10,72.0
พระนครศรีอยุธยา,พฤศจิกายน,บริการ,30,32.93
พระนครศรีอยุธยา,ธันวาคม,ขายส่ง/ขายปลีก,19,26.0
พระนครศรีอยุธยา,ธันวาคม,ผลิต,7,15.0
พระนครศรีอยุธยา,ธันวาคม,บริการ,89,36.3
ลพบุรี,มกราคม,ขายส่ง/ขายปลีก,10,14.2
ลพบุรี,มกราคม,ผลิต,9,28.0
ลพบุรี,มกราคม,บริการ,12,20.6
ลพบุรี,กุมภาพันธ์,ขายส่ง/ขายปลีก,19,32.35
ลพบุรี,กุมภาพันธ์,ผลิต,6,9.5
ลพบุรี,กุมภาพันธ์,บริการ,13,18.27
ลพบุรี,มีนาคม,ขายส่ง/ขายปลีก,11,23.0
ลพบุรี,มีนาคม,ผลิต,3,3.0
ลพบุรี,มีนาคม,บริการ,10,17.0
ลพบุรี,เมษายน,ขายส่ง/ขายปลีก,10,16.0
ลพบุรี,เมษายน,ผลิต,3,3.0
ลพบุรี,เมษายน,บริการ,10,22.21
ลพบุรี,พฤษภาคม,ขายส่ง/ขายปลีก,7,11.0
ลพบุรี,พฤษภาคม,ผลิต,3,3.0
ลพบุรี,พฤษภาคม,บริการ,17,33.65
ลพบุรี,มิถุนายน,ขายส่ง/ขายปลีก,11,18.1
ลพบุรี,มิถุนายน,ผลิต,2,169.0
ลพบุรี,มิถุนายน,บริการ,14,20.1
ลพบุรี,กรกฎาคม,ขายส่ง/ขายปลีก,9,17.1
ลพบุรี,กรกฎาคม,ผลิต,3,2.6
ลพบุรี,กรกฎาคม,บริการ,9,12.25
ลพบุรี,สิงหาคม,ขายส่ง/ขายปลีก,13,9.55
ลพบุรี,สิงหาคม,ผลิต,1,2.0
ลพบุรี,สิงหาคม,บริการ,12,23.1
ลพบุรี,กันยายน,ขายส่ง/ขายปลีก,10,16.3
ลพบุรี,กันยายน,ผลิต,2,2.0
ลพบุรี,กันยายน,บริการ,12,11.2
ลพบุรี,ตุลาคม,ขายส่ง/ขายปลีก,17,19.25
ลพบุรี,ตุลาคม,ผลิต,1,0.5
ลพบุรี,ตุลาคม,บริการ,15,17.05
ลพบุรี,พฤศจิกายน,ขายส่ง/ขายปลีก,4,6.004
ลพบุรี,พฤศจิกายน,ผลิต,6,10.0
ลพบุรี,พฤศจิกายน,บริการ,6,10.64
ลพบุรี,ธันวาคม,ขายส่ง/ขายปลีก,1,5.0
ลพบุรี,ธันวาคม,ผลิต,0,0.0
ลพบุรี,ธันวาคม,บริการ,9,10.372
สมุทรปราการ,มกราคม,ขายส่ง/ขายปลีก,186,300.2
สมุทรปราการ,มกราคม,ผลิต,58,592.7
สมุทรปราการ,มกราคม,บริการ,220,351.55
สมุทรปราการ,กุมภาพันธ์,ขายส่ง/ขายปลีก,153,228.311
