type,p_s,p_m,p_l,p_total,m_s,m_m,m_l,m_total
การขายส่งสินค้าเฉพาะอย่างอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่นโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,824,58,14,896,4276.77088,777.2,908.25,5962.22088
การขายส่งสินค้าทั่วไปโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,8794,248,54,9096,24315.10787,3232.48441,3096.7972,30644.38948
การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิต,1,0,0,1,1,0,0,1
การขายส่งข้าวเปลือกและธัญพืชอื่นๆ,1763,206,70,2039,21158.85054,2046.15888,2818.71,26023.71942
การขายส่งพืชน้ำมันที่ใช้ในการผลิตน้ำมันพืช,219,33,14,266,1739.834349,606.41,1372.1,3718.344349
การขายส่งยาสูบที่ยังไม่เป็นผลิตภัณฑ์สำเร็จรูป,16,1,3,20,53.8,6,23,82.8
การขายส่งสัตว์มีชีวิต,734,63,25,822,2788.882,832.9,2304.58,5926.362
การขายส่งดอกไม้ต้นไม้และเมล็ดพันธุ์พืช,872,62,6,940,2459.09534,1207.45,1617.355,5283.90034
การขายส่งอาหารสัตว์,1748,242,80,2070,8075.67178,1990.958961,73956.5,84023.13074
การขายส่งวัตถุดิบอื่นๆทางการเกษตรซึ่งมิได้จัดประเภทไว้ในที่อื่น,3925,380,107,4412,15585.00242,2913.050225,6519.65,25017.70264
การขายส่งอาหารเครื่องดื่มและยาสูบ,0,0,0,0,0,0,0,0
การขายส่งอาหาร,1,0,0,1,0.3,0,0,0.3
การขายส่งเนื้อสัตว์และผลิตภัณฑ์เนื้อสัตว์,1248,197,65,1510,3867.5383,2152.8783,2520.8,8541.2166
การขายส่งปลาและผลิตภัณฑ์สัตว์น้ำ,1253,197,66,1516,4909.8891,2048.051201,1739.1,8697.040301
การขายส่งผักและผลไม้,3528,469,232,4229,11104.5831,3646.5181,9830.6688,24581.77
การขายส่งผลิตภัณฑ์นม,632,104,27,763,1177.8,1148.92,698.95,3025.67
การขายส่งข้าวและผลิตภัณฑ์ที่ได้จากการโรงสีข้าว,882,146,140,1168,11633.50361,2095.82,24045.547,37774.87061
การขายส่งผลิตภัณฑ์ขนมอบไข่น้ำมันและไขมันที่ใช้ในการบริโภค,301,43,18,362,1220.9694,485.1582,1819.1345,3525.2621
การขายส่งน้ำตาลช็อกโกแลตและลูกกวาด,135,40,20,195,3756.9126,361.6,577.2,4695.7126
การขายส่งกาแฟชาโกโก้,933,49,10,992,3607.239416,446.73,1178,5231.969416
การขายส่งผลิตภัณฑ์อาหารอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,4948,400,145,5493,17574.14041,4840.178,13216.5041,35630.8225
การขายส่งเครื่องดื่มและยาสูบ,0,0,0,0,0,0,0,0
การขายส่งเครื่องดื่มที่มีแอลกอฮอล์,1100,282,213,1595,8970.734279,1328.4477,6824.684805,17123.86678
การขายส่งเครื่องดื่มที่ไม่มีแอลกอฮอล์,808,65,32,905,2413.085885,661.85,6047.2683,9122.204185
การขายส่งผลิตภัณฑ์ยาสูบ,140,76,20,236,427.4937,241.27,8809.7728,9478.5365
การขายส่งสินค้าในครัวเรือน,0,0,0,0,0,0,0,0
การขายส่งสิ่งทอเสื้อผ้าและรองเท้า,0,0,0,0,0,0,0,0
การขายส่งด้ายและผ้า,1548,151,22,1721,5832.1098,2646.53,2804,11282.6398
การขายส่งของใช้ในครัวเรือนที่ทำจากสิ่งทอ,489,26,4,519,1296.7485,185.6,3220,4702.3485
การขายส่งอุปกรณ์ตัดเย็บ,64,1,0,65,228.1,12,0,240.1
การขายส่งเสื้อผ้า,2855,77,34,2966,8082.610098,1422.9029,4621.247512,14126.76051
การขายส่งรองเท้า,261,19,7,287,988.8935,939,1052,2979.8935
การขายส่งเครื่องใช้ไฟฟ้าและอิเล็กทรอนิกส์ชนิดใช้ในครัวเรือน,0,0,0,0,0,0,0,0
การขายส่งเครื่องใช้ไฟฟ้าและอิเล็กทรอนิกส์ชนิดใช้ในครัวเรือน,2776,265,89,3130,12289.53,3368.998125,9464.75175,25123.27988
การขายส่งอุปกรณ์สำหรับให้แสงสว่าง,606,60,11,677,1859.506,665.7128,921.0705,3446.2893
การขายส่งหนังสือหนังสือพิมพ์และเครื่องเขียน,1492,157,31,1680,3772.5118,2344.06,1674.0324,7790.6042
การขายส่งสื่อบันทึกเสียงและวีดิทัศน์ที่บันทึกข้อมูลแล้ว,84,5,0,89,1236.4,106,0,1342.4
การขายส่งเครื่องกีฬา,859,42,14,915,2475.2104,468.4517,1391.676,4335.3381
การขายส่งเกมและของเล่น,526,34,4,564,1092.9462,579.3,156,1828.2462
การขายส่งสินค้าวัฒนธรรมและนันทนาการอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,482,32,1,515,1526.6896,557.525,10,2094.2146
การขายส่งสินค้าทางเภสัชภัณฑ์และทางการแพทย์เครื่องหอมและเครื่องสำอาง,0,0,0,0,0,0,0,0
การขายส่งสินค้าทางเภสัชภัณฑ์และทางการแพทย์,6663,391,184,7238,23784.99574,21812.8712,27217.25048,72815.11743
การขายส่งเครื่องหอม,326,11,8,345,734.0539,90.3,1309.02,2133.3739
การขายส่งเครื่องสำอาง,4761,174,63,4998,12126.33266,2393.6401,5070.2236,19590.19636
การขายส่งสินค้าในครัวเรือนอื่นๆ,0,0,0,0,0,0,0,0
การขายส่งอุปกรณ์ถ่ายภาพและทัศนศาสตร์,224,15,8,247,1087.6962,291.1,722,2100.7962
การขายส่งนาฬิกาและเครื่องประดับ,1832,155,69,2056,14893.8432,2886.1,11581.14501,29361.08821
การขายส่งเครื่องหนังและเครื่องใช้สำหรับการเดินทาง,341,16,6,363,1023.001,237,195,1455.001
การขายส่งเฟอร์นิเจอร์ชนิดใช้ในครัวเรือน,1446,97,16,1559,5431.8653,1619.1076,4202.81,11253.7829
การขายส่งเครื่องดินเผาเครื่องแก้วและเครื่องครัว,312,35,2,349,1128.61,299.1,140,1567.71
การขายส่งสินค้าในครัวเรือนอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,1684,165,23,1872,4969.612701,1687.061857,1515.839422,8172.51398
การขายส่งเครื่องจักรอุปกรณ์และเครื่องมือเครื่องใช้ต่างๆ,0,0,0,0,0,0,0,0
การขายส่งคอมพิวเตอร์อุปกรณ์ต่อพ่วงคอมพิวเตอร์และซอฟต์แวร์,2577,187,63,2827,9064.34095,3692.946681,9711.566261,22468.85389
การขายส่งอุปกรณ์และชิ้นส่วนทางอิเล็กทรอนิกส์และทางการสื่อสารโทรคมนาคม,1,0,0,1,0.5,0,0,0.5
การขายส่งอุปกรณ์และชิ้นส่วนอิเล็กทรอนิกส์,2842,217,110,3169,12366.5603,5638.50645,12340.7291,30345.79585
การขายส่งโทรศัพท์และอุปกรณ์การสื่อสารโทรคมนาคม,1688,127,65,1880,9069.29402,2074.356,11627.93175,22771.58177
การขายส่งเครื่องจักรอุปกรณ์และเครื่องใช้ทางการเกษตร,2066,210,100,2376,5927.29406,5159.708094,5112.943044,16199.9452
การขายส่งเครื่องจักรและอุปกรณ์อื่นๆ,0,0,0,0,0,0,0,0
การขายส่งอุปกรณ์ขนส่ง (ยกเว้นยานยนต์จักรยานยนต์และจักรยาน),662,48,10,720,4448.0478,1057.5721,710,6215.6199
การขายส่งเครื่องจักรและอุปกรณ์งานวิศวกรรมโยธางานเหมืองแร่และงานก่อสร้าง,972,91,36,1099,3628.067,3730.887027,7015.69836,14374.65239
การขายส่งเครื่องจักรและอุปกรณ์เพื่อใช้ในงานอุตสาหกรรม,5986,510,76,6572,16653.1196,8623.8131,4868.449,30145.3817
การขายส่งเครื่องจักรอุปกรณ์และเฟอร์นิเจอร์ชนิดใช้ในสำนักงาน,864,56,11,931,1651.3,1349.5842,1799.078,4799.9622
การขายส่งเครื่องจักรและอุปกรณ์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,15249,1251,227,16727,51311.97308,24026.22605,60615.90739,135954.1065
การขายส่งสินค้าเฉพาะทางอื่นๆ,0,0,0,0,0,0,0,0
การขายส่งเชื้อเพลิงแข็งเชื้อเพลิงเหลวและเชื้อเพลิงก๊าซ รวมทั้งผลิตภัณฑ์ที่เกี่ยวเนื่อง,0,0,0,0,0,0,0,0
การขายส่งเชื้อเพลิงแข็ง,316,47,24,387,3053.005,2511.474772,82289.40405,87853.88382
การขายส่งเชื้อเพลิงเหลว,925,330,147,1402,7051.810979,2092.53,129958.4348,139102.7758
การขายส่งเชื้อเพลิงก๊าซ,254,93,21,368,1412.65,1135.13,3567.4315,6115.2115
การขายส่งผลิตภัณฑ์ที่ได้จากการกลั่นปิโตรเลียม,704,118,40,862,4898.2108,1344.906,5136.660525,11379.77733
การขายส่งโลหะและสินแร่โลหะ,0,0,0,0,0,0,0,0
การขายส่งแร่โลหะที่เป็นเหล็กและนอกกลุ่มเหล็ก,638,55,32,725,4377.015,708.4723,2013.5,7098.9873
การขายส่งเหล็กเหล็กกล้าและโลหะที่นอกกลุ่มเหล็กขั้นมูลฐาน,2077,411,225,2713,13321.4801,8030.67,36779.5492,58131.69929
การขายส่งวัสดุก่อสร้างเครื่องโลหะอุปกรณ์และเครื่องมือเครื่องใช้เกี่ยวกับการวางท่อและการทำความร้อน,0,0,0,0,0,0,0,0
การขายส่งอิฐหินปูนทรายและผลิตภัณฑ์คอนกรีต,1237,139,22,1398,4018.045199,1470.3928,17822.07506,23310.51306
การขายส่งไม้และผลิตภัณฑ์จากไม้แปรรูปขั้นต้น,1818,207,36,2061,10573.58554,2897.88,4133.5,17604.96554
การขายส่งสีทาน้ำมันชักเงาและแลกเกอร์,215,21,10,246,670.97,250.9,858.5,1780.37
การขายส่งอุปกรณ์การวางท่อและเครื่องสุขภัณฑ์,361,62,30,453,1775.535,1156.5265,4634.6058,7566.6673
การขายส่งวัสดุก่อสร้างอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,4879,634,143,5656,17809.16254,8417.4119,30602.79885,56829.37329
การขายส่งของเสียและเศษวัสดุและผลิตภัณฑ์อื่นๆซึ่งมิได้ จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0
การขายส่งเคมีภัณฑ์ทางอุตสาหกรรม,4054,617,242,4913,22069.5641,11147.2984,25837.44365,59054.30615
การขายส่งปุ๋ยและเคมีภัณฑ์ทางการเกษตร,3839,417,133,4389,8821.183558,1990.472,6335.2725,17146.92806
การขายส่งยางพาราและพลาสติกขั้นต้น,1498,205,112,1815,6734.0319,2135.21,12561.0162,21430.2581
การขายส่งบรรจุภัณฑ์ชนิดใช้ในทางอุตสาหกรรม,1554,109,27,1690,3459.227501,879.6,2833.8553,7172.682801
การขายส่งของเสียและเศษวัสดุเพื่อนำกลับมาใช้ใหม่,2846,313,142,3301,10517.46179,4208.245995,9901.18238,24626.89016
การขายส่งสินค้าเกี่ยวกับอาวุธยุทโธปกรณ์,358,9,0,367,921.1,487.05,0,1408.15
การขายส่งผลิตภัณฑ์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,1116,113,38,1267,4271.01774,2807.674145,5248.2,12326.89189
การขายส่งสินค้าทั่วไป,8623,667,272,9562,24714.14984,6027.01145,38424.7003,69165.86159
การขายปลีกยกเว้นยานยนต์และจักรยานยนต์,0,0,0,0,0,0,0,0
การขายปลีกในร้านค้าทั่วไป,0,0,0,0,0,0,0,0
การขายปลีกในร้านค้าทั่วไปที่มีอาหารเครื่องดื่มหรือยาสูบเป็นสินค้าหลัก,0,0,0,0,0,0,0,0
ซุปเปอร์มาร์เก็ต,817,81,39,937,3257.070878,457.2,7482.2913,11196.56218
ดิสเคาท์สโตร์/ซุปเปอร์เซ็นเตอร์/ไฮเปอร์มาร์เก็ต,235,29,16,280,950.2561,372.9,11070.649,12393.8051
ร้านสะดวกซื้อ/มินิมาร์ท,1311,33,12,1356,2505.58601,1120.9,19778.29605,23404.78206
ร้านขายของชำ,1047,66,25,1138,3025.728549,529.89499,236.9,3792.523539
การขายปลีกสินค้าอื่นๆในร้านค้าทั่วไป,10891,475,118,11484,31455.92427,11205.6268,35224.23827,77885.78935
การขายปลีกอาหารเครื่องดื่มและยาสูบในร้านค้าเฉพาะ,1,0,0,1,1,0,0,1
การขายปลีกอาหารในร้านค้าเฉพาะ,0,0,0,0,0,0,0,0
ร้านขายปลีกเนื้อสัตว์และผลิตภัณฑ์เนื้อสัตว์,945,105,33,1083,1611.27495,575.003,6108.1,8294.37795
ร้านขายปลีกปลาและผลิตภัณฑ์สัตว์น้ำ,507,72,16,595,1169.63,476.01,336,1981.64
ร้านขายปลีกผักและผลไม้,893,69,19,981,2651.89963,445.7,483.43,3581.02963
ร้านขายปลีกข้าวและผลิตภัณฑ์ที่ได้จากการสีข้าว,315,42,13,370,1324.4883,465.8,819.51,2609.7983
ร้านขายปลีกผลิตภัณฑ์ขนมอบ,419,13,5,437,1152.0788,29,103,1284.0788
ร้านขายปลีกอาหารอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,4648,234,43,4925,9591.157689,3960.67985,2309.666,15861.50354
การขายปลีกเครื่องดื่มในร้านค้าเฉพาะ,0,0,0,0,0,0,0,0
ร้านขายปลีกเครื่องดื่มที่มีแอลกอฮอล์,679,100,50,829,1364.9547,396.6,1447.105,3208.6597
ร้านขายปลีกเครื่องดื่มที่ไม่มีแอลกอฮอล์,1631,51,19,1701,3648.943605,811.2983,381,4841.241905
การขายปลีกผลิตภัณฑ์ยาสูบในร้านค้าเฉพาะ,64,16,5,85,250.83,45.264,9.4,305.494
การขายปลีกเชื้อเพลิงยานยนต์ในร้านค้าเฉพาะ สถานี ปั๊ม,4491,3061,407,7959,17206.08021,19330.04623,14046.25206,50582.37849
การขายปลีกเครื่องมือสารสนเทศและการสื่อสารในร้านเฉพาะ,0,0,0,0,0,0,0,0
การขายปลีกคอมพิวเตอร์อุปกรณ์ต่อพ่วงซอฟต์แวร์ และอุปกรณ์การสื่อสารโทรคมนาคมในร้านค้าเฉพาะ,1,0,0,1,1,0,0,1
ร้านขายปลีกคอมพิวเตอร์และอุปกรณ์ต่อพ่วงคอมพิวเตอร์,3857,209,49,4115,10098.20955,2035.15362,6965.612643,19098.97581
ร้านขายปลีกเครื่องเล่นวีดิโอเกมและซอฟต์แวร์สำเร็จรูป,520,34,6,560,1391.48974,344.85,734.35349,2470.69323
ร้านขายปลีกอุปกรณ์การสื่อสารโทรคมนาคม,3572,180,53,3805,10897.31731,1642.9,11512.55565,24052.77296
การขายปลีกอุปกรณ์ที่เกี่ยวกับภาพและเสียงในร้านเฉพาะ,440,37,5,482,1531.284,330.36935,180,2041.65335
การขายปลีกสิ่งทอในร้านค้าเฉพาะ,0,0,0,0,0,0,0,0
การขายปลีกด้ายและผ้า,982,39,4,1025,2205.8055,533.5,337,3076.3055
ร้านขายปลีกของใช้ในครัวเรือนที่ทำจากสิ่งทอ,381,6,1,388,1102.7035,227.9262,16,1346.6297
ร้านขายปลีกอุปกรณ์ตัดเย็บ,61,2,0,63,127.76,11.8,0,139.56
การขายปลีกเครื่องมือที่ทำจากโลหะสีและกระจกในร้านค้า เฉพาะ,0,0,0,0,0,0,0,0
ร้านขายปลีกเครื่องโลหะ,1011,93,24,1128,2850.624,2243.69,1852,6946.314
ร้านขายปลีกสีทาน้ำมันชักเงาและแลกเกอร์,402,43,3,448,937.249065,182.45,31.5,1151.199065
ร้านขายปลีกอุปกรณ์การวางท่อและเครื่องสุขภัณฑ์,652,70,17,739,2202.2697,826.74,659,3688.0097
ร้านขายปลีกวัสดุก่อสร้างอื่นๆ,9934,928,206,11068,31803.7019,10080.69832,23579.0605,65463.46072
ร้านขายปลีกวัสดุก่อสร้างหลายชนิดรวมถึงวัสดุอุปกรณ์และเครื่องมือชนิดนำไปใช้ทำงานได้ด้วยตัวเอง,4673,208,31,4912,10240.53867,2542.0795,5920.962134,18703.58031
การขายปลีกพรมพรมหนาวัสดุปิดฝาผนังและปูพื้นในร้านค้าเฉพาะ,456,20,2,478,899.145,148.8,1219.34383,2267.28883
การขายปลีกเครื่องใช้ไฟฟ้าในครัวเรือนเฟอร์นิเจอร์อุปกรณ์ ไฟฟ้าแสงสว่างและของใช้ในครัวเรือนชนิดอื่นๆในร้านค้าเฉพาะ,1,0,0,1,1,0,0,1
ร้านขายปลีกเฟอร์นิเจอร์ชนิดใช้ในครัวเรือน,2146,82,10,2238,5601.937147,2272.2,9977.468,17851.60515
ร้านขายปลีกเครื่องดินเผาเครื่องแก้วและเครื่องครัว,306,24,3,333,620.4452,178.29,126,924.7352
ร้านขายปลีกอุปกรณ์ไฟฟ้าสำหรับให้แสงสว่าง,1830,173,29,2032,4369.442036,1791.7001,1131.1,7292.242136
ร้านขายปลีกอุปกรณ์เกี่ยวกับเครื่องดนตรี,298,15,1,314,740.6390107,175,1,916.6390107
ร้านขายปลีกเครื่องใช้ไฟฟ้าชนิดในครัวเรือน,4244,247,46,4537,8765.386245,2340.7225,26428.491,37534.59975
ร้านขายปลีกของใช้อื่นๆในครัวเรือนซึ่งมิได้จัดประเภทไว้ในที่อื่น,1084,54,7,1145,4744.507573,961.7055,1914.6309,7620.843973
การขายปลีกหนังสือหนังสือพิมพ์และเครื่องเขียนที่มีอยู่ในร้านค้าเฉพาะ,0,0,0,0,0,0,0,0
ร้านขายปลีกหนังสือหนังสือพิมพ์วารสารและนิตยสาร,601,26,8,635,1855.755,436.3884,1061.668529,3353.811929
ร้านขายปลีกเครื่องเขียนและเครื่องใช้สำนักงาน,3378,156,17,3551,6295.173251,1890.03112,2007,10192.20437
การขายปลีกสื่อบันทึกเสียงเพลงและสื่อบันทึกวีดิทัศน์ในร้านค้าเฉพาะ,72,0,1,73,301.25,0,150,451.25
การขายปลีกเครื่องกีฬาในร้านค้าเฉพาะ,1177,47,8,1232,2437.496976,1470.7,2500.8824,6409.079376
การขายปลีกเกมและของเล่นในร้านค้าเฉพาะ,484,18,3,505,875.4926,552,95,1522.4926
ร้านขายปลีกผลิตภัณฑ์งานฝีมือคนไทยและของที่ระลึก,692,12,0,704,1773.798,72,0,1845.798
ร้านขายปลีกสินค้าทางวัฒนธรรมและนันทนาการอื่นๆซึ่งมิได้ จัดประเภทไว้ในที่อื่น,75,1,0,76,260.15,5,0,265.15
การขายปลีกสินค้าอื่นๆในร้านค้าเฉพาะ,0,0,0,0,0,0,0,0
การขายปลีกเสื้อผ้ารองเท้าและเครื่องหนังในร้านค้าเฉพาะ,0,0,0,0,0,0,0,0
ร้านขายปลีกเสื้อผ้า,4303,119,35,4457,11829.83359,4700.9055,11040.7,27571.43909
ร้านขายปลีกรองเท้า,308,16,3,327,937.336,701.5,1178,2816.836
ร้านขายปลีกเครื่องหนังยกเว้นรองเท้า,322,17,8,347,1010.3605,184.2,506.505,1701.0655
การขายปลีกสินค้าทางเภสัชภัณฑ์และทางการแพทย์เครื่องหอม เครื่องสำอางและผลิตภัณฑ์ที่ใช้ในห้องน้ำในร้านค้าเฉพาะ,0,0,0,0,0,0,0,0
ร้านขายปลีกสินค้าทางเภสัชภัณฑ์และเวชภัณฑ์,7111,398,115,7624,26519.15561,6258.48235,18918.14436,51695.78232
ร้านขายปลีกเครื่องหอม,356,18,2,376,625.8563,133,104.6,863.4563
ร้านขายปลีกเครื่องสำอาง,5880,160,38,6078,12062.36563,1777.674586,4237.817198,18077.85741
การขายปลีกสินค้าใหม่อื่นๆในร้านค้าเฉพาะ,1,0,0,1,1,0,0,1
ร้านขายปลีกนาฬิกาแว่นตาและอุปกรณ์ถ่ายภาพ,789,41,22,852,1676.052,1237.75,4348.334,7262.136
ร้านขายปลีกเครื่องประดับ,9115,676,285,10076,48226.46734,12787.67285,25489.4722,86503.61239
ร้านขายปลีกดอกไม้ต้นไม้และอุปกรณ์ที่เกี่ยวข้อง,1327,93,31,1451,3612.05146,1051.842,2335.8,6999.69346
ร้านขายปลีกสัตว์เลี้ยงและอุปกรณ์ที่เกี่ยวข้อง,1013,60,16,1089,1791.11295,2234.81,1280.1195,5306.04245
ร้านขายปลีกก๊าซและเชื้อเพลิงอื่นๆสำหรับใช้ในครัวเรือน,775,162,24,961,1372.007491,1116.99,249.4,2738.397491
ร้านขายปลีกสินค้าใหม่อื่นๆซึ่งมิได้จัดประเภทไว้ในทื่อื่น,2626,96,26,2748,6337.176845,910,1062.501432,8309.678277
การขายปลีกสินค้ามือสองในร้านค้าเฉพาะ,0,0,0,0,0,0,0,0
ร้านขายปลีกวัตถุโบราณ,133,3,0,136,205.1,126,0,331.1
ร้านขายปลีกเครื่องแต่งกายรองเท้าและเครื่องหนังที่ใช้แล้ว,265,5,2,272,537.2,28,171,736.2
ร้านขายปลีกคอมพิวเตอร์และอุปกรณ์สื่อสารโทรคมนาคมที่ใช้แล้ว,70,4,0,74,86.83,18.5,0,105.33
ร้านขายปลีกเครื่องใช้ไฟฟ้าและอิเล็กทรอนิกส์ชนิดใช้ในครัวเรือนที่ใช้แล้ว,79,0,1,80,126.7,0,10,136.7
ร้านขายปลีกหนังสือหนังสือพิมพ์วารสารและนิตยสารที่ใช้แล้ว,10,0,0,10,16.601,0,0,16.601
ร้านขายปลีกสินค้าใช้แล้วอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,530,26,11,567,1414.298,319.4,160.3,1893.998
การขายปลีกผลิตภัณฑ์อาหารเครื่องดื่มและยาสูบบนแผงลอยและตลาด,0,0,0,0,0,0,0,0
การขายปลีกผลิตภัณฑ์อาหารบนแผงลอยและตลาด,71,0,1,72,161.33,0,1,162.33
การขายปลีกเครื่องดื่มบนแผงลอยและตลาด,33,2,0,35,76.464,6,0,82.464
การขายปลีกผลิตภัณฑ์ยาสูบบนแผงลอยและตลาด,7,1,0,8,12,3.6,0,15.6
การขายปลีกสิ่งทอเสื้อผ้าและรองเท้าบนแผงลอยและตลาด,0,0,0,0,0,0,0,0
การขายปลีกสิ่งทอบนแผงลอยและตลาด,11,0,0,11,11.8,0,0,11.8
การขายปลีกเสื้อผ้ารองเท้าและเครื่องหนังบนแผงลอยและตลาด,122,2,1,125,549.41,45,295,889.41
การขายปลีกคอมพิวเตอร์และอุปกรณ์สื่อสารโทรคมนาคม บนแผงลอยและตลาด,137,2,0,139,231.29,2,0,233.29
การขายปลีกเครื่องใช้ไฟฟ้าและอิเล็กทรอนิกส์ชนิดใช้ในครัวเรือนบนแผงลอยและตลาด,201,9,2,212,456.6,78.5,913.1633,1448.2633
การขายปลีกหนังสือหนังสือพิมพ์วารสารและนิตยสาร บนแผงลอยและตลาด,12,0,0,12,53.25,0,0,53.25
การขายปลีกสื่อบันทึกเสียงและภาพบนแผงลอยและตลาด,7,0,0,7,7,0,0,7
การขายปลีกสินค้าทางเภสัชภัณฑ์และเวชภัณฑ์ เครื่องหอมและเครื่องสำอางบนแผงลอยและตลาด,257,12,2,271,631.601,204,97.353,932.954
การขายปลีกนาฬิกาแว่นตาเครื่องเพชรพลอยบนแผงลอย และตลาด,67,6,0,73,192.15,19.6,0,211.75
การขายปลีกดอกไม้ต้นไม้สัตว์เลี้ยงและอาหารสำหรับสัตว์เลี้ยงบนแผงลอยและตลาด,62,5,0,67,89.409,32.556,0,121.965
การขายปลีกสินค้าอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่นบนแผงลอยและตลาด,252,8,1,261,467.325,161,280,908.325
การขายปลีกที่ไม่ได้กระทำในร้านค้าแผงลอยหรือตลาด,0,0,0,0,0,0,0,0
การขายปลีกผ่านการสั่งซื้อทางไปรษณีย์หรือทางอินเทอร์เน็ต,2,0,0,2,5.3,0,0,5.3
การขายปลีกโดยการรับสั่งสินค้าทางไปรษณีย์โทรทัศน์วิทยุ และโทรศัพท์,221,12,7,240,1650.671,39.2,2900.224601,4590.095601
การขายปลีกทางอินเทอร์เน็ต,10487,189,28,10704,21490.09172,2023.207685,27214.5204,50727.8198
การขายปลีกโดยวิธีอื่นๆที่ไม่ได้กระทำในร้านค้าแผงลอยหรือ ตลาด,0,0,0,0,0,0,0,0
การขายตรง,1215,27,10,1252,2328.51,964.1366,4026.76203,7319.40863
การขายปลีกโดยไม่มีร้านซึ่งมิได้จัดประเภทไว้ในที่อื่น,762,37,6,805,1624.800098,2428.5243,1900,5953.324398
การขนส่งทางบกและการขนส่งทางท่อลำเลียง,0,0,0,0,0,0,0,0
การขนส่งทางรถไฟ,0,0,0,0,0,0,0,0
การขนส่งผู้โดยสารทางรถไฟระหว่างเมือง,11,0,0,11,15014.2,0,0,15014.2
การขนส่งสินค้าทางรถไฟ,27,5,0,32,86.1,372.5,0,458.6
การขนส่งผู้โดยสารด้วยรถโดยสารประจำทาง,1,0,0,1,2,0,0,2
การขนส่งผู้โดยสารด้วยรถโดยสารประจำทางในกรุงเทพฯ และปริมณฑล,123,8,3,134,1115.235,741.52,2002.5,3859.255
การขนส่งผู้โดยสารทางรถโดยสารประจำทางระหว่างกรุงเทพฯ กับจังหวัดอื่น,32,0,1,33,74.1216,0,780.64,854.7616
การขนส่งผู้โดยสารทางรถโดยสารประจำทางระหว่างจังหวัด,31,2,0,33,59.7,40,0,99.7
การขนส่งผู้โดยสารทางรถโดยสารประจำทางในชนบท,66,0,0,66,130.106,0,0,130.106
การขนส่งผู้โดยสารทางรถโดยสารประจำทางอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,751,21,4,776,1773.021,421.466,325.5775145,2520.064515
การขนส่งทางบกอื่นๆ,2,0,0,2,2.25,0,0,2.25
การขนส่งผู้โดยสารในเขตเมืองและปริมณฑลยกเว้นทางรถโดยสารประจำทาง,21,2,4,27,29,8,47956.78341,47993.78341
การขนส่งผู้โดยสารทางบกอื่นๆ,0,0,0,0,0,0,0,0
การขนส่งผู้โดยสารโดยรถยนต์รับจ้าง/แท็กซี่,338,6,0,344,1054.590999,119.5,0,1174.090999
การขนส่งผู้โดยสารโดยรถสามล้อเครื่องและจักรยานยนต์รับจ้าง,14,0,0,14,79.61,0,0,79.61
การขนส่งและขนถ่ายสินค้า รวมถึงคนโดยสาร,15162,752,115,16029,50314.50396,10137.05814,8769.756199,69221.3183
การขนส่งผู้โดยสารทางบกอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,2777,110,19,2906,6832.262388,2370.9326,2070.26,11273.45499
การขนส่งสินค้าทางถนน,2,0,0,2,2,0,0,2
การขนส่งสินค้าแช่เย็นหรือแช่แข็งทางถนน,379,11,1,391,515.06,1001.0676,5,1521.1276
การขนส่งผลิตภัณฑ์ปิโตรเลียมทางถนน,251,29,4,284,1866.59,534.5,1009.9996,3411.0896
การขนส่งของเหลวหรือก๊าซ (ยกเว้นก๊าซธรรมชาติ) ทางถนน,55,6,1,62,196.6,67,5,268.6
การขนส่งสินค้าที่บรรจุในตู้คอนเทนเนอร์ทางถนน,581,51,7,639,1570.509999,667,310,2547.509999
การขนส่งสินค้าอื่นๆทางถนนซึ่งมิได้จัดประเภทไว้ในที่อื่น,8527,539,78,9144,18899.24642,32850.31679,7947.25894,59696.82215
การขนส่งทางระบบท่อลำเลียง,7,3,9,19,8,5656,23772.6,29436.6
การขนส่งทางน้ำ,0,0,0,0,0,0,0,0
การขนส่งทางทะเลและตามแนวชายฝั่งทะเล,0,0,0,0,0,0,0,0
การขนส่งผู้โดยสารทางทะเลและตามแนวชายฝั่งทะเล,0,0,0,0,0,0,0,0
การขนส่งผู้โดยสารทางทะเลและตามแนวชายฝั่งทะเลโดยเรือโดยสารข้ามฟาก,13,0,0,13,477.5,0,0,477.5
การขนส่งผู้โดยสารทางทะเลและตามแนวชายฝั่งทะเลโดยเรือท่องเที่ยวหรือเรือโดยสารทัศนาจรขนาดใหญ่,110,2,0,112,410.032,6,0,416.032
